English,darija
السلام عليكم حاب نروح غدوة لآلجي مع خويا وختي و زوج صحابي,Asalaam alaikum i want to go to Algiers with my sis and my friend
English,darija
السلام عليكم حاب نروح غدوة لآلجي مع خويا وختي و راجلي,Asalaam alaikum i need to go to Algiers with my sis and my husband
English,darija
كيفاه ندير باش نروح للصحرى,how to do to go to deserts
English,darija
إنتهت سهرتنا لنهار اليوم سأذهب لأنام عما قريب,Our night is over I'm going to bed soon
English,darija
حاب نروح لآلجي إنصحني ما هي أفضل خطوط جوية,i want to go to alaj advise me
English,darija
حاب نروح لآلجي إنصحني ما هي أفضل. خطوط جوية,I'd like to go to Algiers to advise me on the best. Airlines
English,darija
حاب نروح لآلجي إنصحني ما هي أفضل خطوط جوية. ,I'd like to go to Algiers to advise me on the best airline.
English,darija
إلى القاء,Goodbye
English,darija
أحكملي بيي لآلجي,tell me the adress
English,darija
أريد الذهاب من الشرق الجزائري إلى الغرب,I want to go from Algiers to Al Gharbiyah
English,darija
أريد الدهاب الى عن جدي,i want gold for my grandfather
English,darija
أريد الذهاب الى عن جدي,i want to go to my grandpa
