English,Arabic
مرحبا أريد التوجه إلى العاصمة غدا من الطاهير,"Hello, I want to head to the capital city tomorrow from El Ta'ir"
English,Arabic
السلام عليكم حاب نروح غدوة لآلجي مع خويا وختي و راجلي,"Asalaam alaikum Habib Gogha to Alji with Khuia, my sister, and Rajli"
English,Arabic
أريد الدهاب معك,I want Dhabb with you
English,Arabic
عند الذهاب إلى العاصمة ساخد جميع أخوتي معي,"When I go to the capital, I will take all my brothers with me"
English,Arabic
إنتهت سهرتنا لنهار اليوم سأدهب لأنام عمى قريب,Our night is over for the day I will go to my uncle's sleep soon
English,Arabic
إنتهت سهرتنا لنهار اليوم سأدهب لأنام عما قريب,Our night is over for the day I'll be going to bed soon
English,Arabic
إنتهت سهرتنا لنهار اليوم سأذهب لأنام عما قريب,Our night is over for the day I'll be going to bed soon
English,Arabic
أريد الذهاب من الشرق الجزائري إلى الغرب,I want to go from Algérie East to Al West
English,Arabic
مرحبا,Hi
هل الجو بارد في باريس,is it cold in Paris
هل الجو بارد في باري,is it chilly in Paris
أريد تدكرتين واحدة لي والاخرا لزوجتي,I want two tickets one for myself and the other for my wife
أريد تدكرتين واحدت لي والاخرا لزوجتي,I want two tickets one for myself and the other for my wife
